CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
MDG,1994,POLIO,"per 1,000,000 <15 population",
MDG,1994,TTETANUS,"per 1,000,000 total population",
MDG,1994,YFEVER,"per 1,000,000 total population",
MDG,1993,DIPHTHERIA,"per 1,000,000 total population",
MDG,1993,MEASLES,"per 1,000,000 total population",459.2
MDG,1993,NTETANUS,"per 1,000 live births",0.0
MDG,1993,PERTUSSIS,"per 1,000,000 total population",
MDG,1993,POLIO,"per 1,000,000 <15 population",
MDG,1993,TTETANUS,"per 1,000,000 total population",
MDG,1993,YFEVER,"per 1,000,000 total population",
MDG,1992,DIPHTHERIA,"per 1,000,000 total population",
MDG,1992,MEASLES,"per 1,000,000 total population",144.2
MDG,1992,NTETANUS,"per 1,000 live births",0.0
MDG,1992,PERTUSSIS,"per 1,000,000 total population",
MDG,1992,POLIO,"per 1,000,000 <15 population",
MDG,1992,TTETANUS,"per 1,000,000 total population",
MDG,1992,YFEVER,"per 1,000,000 total population",
MDG,1991,DIPHTHERIA,"per 1,000,000 total population",
MDG,1991,MEASLES,"per 1,000,000 total population",468.9
MDG,1991,NTETANUS,"per 1,000 live births",0.1
MDG,1991,PERTUSSIS,"per 1,000,000 total population",
MDG,1991,POLIO,"per 1,000,000 <15 population",
MDG,1991,TTETANUS,"per 1,000,000 total population",
MDG,1991,YFEVER,"per 1,000,000 total population",
MDG,1990,DIPHTHERIA,"per 1,000,000 total population",20.9
MDG,1990,MEASLES,"per 1,000,000 total population",1199.4
MDG,1990,NTETANUS,"per 1,000 live births",0.4
MDG,1990,PERTUSSIS,"per 1,000,000 total population",110.6
MDG,1990,POLIO,"per 1,000,000 <15 population",
MDG,1990,TTETANUS,"per 1,000,000 total population",17.3
MDG,1990,YFEVER,"per 1,000,000 total population",
MDG,1989,DIPHTHERIA,"per 1,000,000 total population",21.0
MDG,1989,MEASLES,"per 1,000,000 total population",2533.4
MDG,1989,NTETANUS,"per 1,000 live births",0.4
MDG,1989,PERTUSSIS,"per 1,000,000 total population",144.3
MDG,1989,POLIO,"per 1,000,000 <15 population",
MDG,1989,TTETANUS,"per 1,000,000 total population",27.0
MDG,1989,YFEVER,"per 1,000,000 total population",
MDG,1988,DIPHTHERIA,"per 1,000,000 total population",47.8
MDG,1988,MEASLES,"per 1,000,000 total population",1501.3
MDG,1988,NTETANUS,"per 1,000 live births",0.5
MDG,1988,PERTUSSIS,"per 1,000,000 total population",213.4
MDG,1988,POLIO,"per 1,000,000 <15 population",
MDG,1988,TTETANUS,"per 1,000,000 total population",31.2
MDG,1988,YFEVER,"per 1,000,000 total population",
MDG,1987,DIPHTHERIA,"per 1,000,000 total population",15.8
MDG,1987,MEASLES,"per 1,000,000 total population",981.3
MDG,1987,NTETANUS,"per 1,000 live births",
MDG,1987,PERTUSSIS,"per 1,000,000 total population",401.5
MDG,1987,POLIO,"per 1,000,000 <15 population",
MDG,1987,TTETANUS,"per 1,000,000 total population",54.0
