CODE,YEAR,DISEASE_CODE,CASES
HND,2015,RUBELLA,0.0
HND,2015,TTETANUS,17.0
HND,2015,YFEVER,0.0
HND,2014,CRS,0.0
HND,2014,DIPHTHERIA,0.0
HND,2014,JAPENC,
HND,2014,MEASLES,0.0
HND,2014,MUMPS,136.0
HND,2014,NTETANUS,0.0
HND,2014,PERTUSSIS,41.0
HND,2014,POLIO,0.0
HND,2014,RUBELLA,0.0
HND,2014,TTETANUS,8.0
HND,2014,YFEVER,0.0
HND,2013,CRS,0.0
HND,2013,DIPHTHERIA,0.0
HND,2013,JAPENC,
HND,2013,MEASLES,0.0
HND,2013,MUMPS,158.0
HND,2013,NTETANUS,0.0
HND,2013,PERTUSSIS,25.0
HND,2013,POLIO,0.0
HND,2013,RUBELLA,0.0
HND,2013,TTETANUS,12.0
HND,2013,YFEVER,0.0
HND,2012,CRS,0.0
HND,2012,DIPHTHERIA,0.0
HND,2012,JAPENC,
HND,2012,MEASLES,0.0
HND,2012,MUMPS,138.0
HND,2012,NTETANUS,2.0
HND,2012,PERTUSSIS,48.0
HND,2012,POLIO,0.0
HND,2012,RUBELLA,0.0
HND,2012,TTETANUS,17.0
HND,2012,YFEVER,0.0
HND,2011,CRS,0.0
HND,2011,DIPHTHERIA,0.0
HND,2011,MEASLES,0.0
HND,2011,MUMPS,143.0
HND,2011,NTETANUS,2.0
HND,2011,PERTUSSIS,113.0
HND,2011,POLIO,0.0
HND,2011,RUBELLA,0.0
HND,2011,TTETANUS,14.0
HND,2011,YFEVER,0.0
HND,2010,CRS,0.0
HND,2010,DIPHTHERIA,0.0
HND,2010,MEASLES,0.0
HND,2010,MUMPS,172.0
HND,2010,NTETANUS,1.0
HND,2010,PERTUSSIS,135.0
HND,2010,POLIO,0.0
HND,2010,RUBELLA,0.0
HND,2010,TTETANUS,16.0
HND,2010,YFEVER,0.0
HND,2009,CRS,0.0
HND,2009,DIPHTHERIA,0.0
HND,2009,MEASLES,0.0
HND,2009,MUMPS,187.0
HND,2009,NTETANUS,1.0
HND,2009,PERTUSSIS,127.0
HND,2009,POLIO,0.0
HND,2009,RUBELLA,0.0
HND,2009,TTETANUS,21.0
HND,2009,YFEVER,0.0
HND,2008,CRS,0.0
HND,2008,DIPHTHERIA,0.0
HND,2008,MEASLES,0.0
HND,2008,MUMPS,219.0
HND,2008,NTETANUS,1.0
HND,2008,PERTUSSIS,224.0
HND,2008,POLIO,0.0
HND,2008,RUBELLA,0.0
HND,2008,TTETANUS,12.0
HND,2008,YFEVER,0.0
HND,2007,CRS,0.0
HND,2007,DIPHTHERIA,0.0
HND,2007,JAPENC,
HND,2007,MEASLES,0.0
HND,2007,MUMPS,233.0
HND,2007,NTETANUS,0.0
HND,2007,PERTUSSIS,71.0
HND,2007,POLIO,0.0
HND,2007,RUBELLA,0.0
HND,2007,TTETANUS,13.0
HND,2007,YFEVER,0.0
HND,2006,CRS,0.0
HND,2006,DIPHTHERIA,0.0
HND,2006,JAPENC,
HND,2006,MEASLES,0.0
HND,2006,MUMPS,456.0
HND,2006,NTETANUS,0.0
HND,2006,PERTUSSIS,138.0
HND,2006,POLIO,0.0
HND,2006,RUBELLA,0.0
HND,2006,TTETANUS,18.0
HND,2006,YFEVER,0.0
HND,2005,CRS,0.0
HND,2005,DIPHTHERIA,0.0
HND,2005,MEASLES,0.0
HND,2005,MUMPS,408.0
HND,2005,NTETANUS,0.0
HND,2005,PERTUSSIS,134.0
HND,2005,POLIO,0.0
HND,2005,RUBELLA,0.0
HND,2005,TTETANUS,19.0
HND,2005,YFEVER,0.0
HND,2004,CRS,0.0
HND,2004,DIPHTHERIA,0.0
HND,2004,MEASLES,0.0
HND,2004,MUMPS,554.0
HND,2004,NTETANUS,1.0
HND,2004,PERTUSSIS,104.0
HND,2004,POLIO,0.0
HND,2004,RUBELLA,1.0
HND,2004,TTETANUS,13.0
HND,2004,YFEVER,0.0
HND,2003,CRS,0.0
HND,2003,DIPHTHERIA,0.0
HND,2003,MEASLES,0.0
HND,2003,MUMPS,599.0
HND,2003,NTETANUS,4.0
HND,2003,PERTUSSIS,93.0
HND,2003,POLIO,0.0
HND,2003,RUBELLA,1.0
HND,2003,TTETANUS,23.0
HND,2003,YFEVER,0.0
HND,2002,CRS,1.0
HND,2002,DIPHTHERIA,0.0
HND,2002,MEASLES,0.0
HND,2002,MUMPS,909.0
HND,2002,NTETANUS,2.0
HND,2002,PERTUSSIS,69.0
HND,2002,POLIO,0.0
HND,2002,RUBELLA,5.0
HND,2002,TTETANUS,17.0
HND,2002,YFEVER,0.0
